Product Name,Discount Prices(?),Actual Prices(?),Weight/Type,Discount Percentage(%),Rating,Users
Cetaphil DAM DAILY ADVANCE ULTRA HYDRATING LOTION,237,279,30 g,15% off,4.2,"64,529"
Parachute Advansed Deep Nourish Body Lotion,323,850,800 ml,62% off,4.4,"1,98,315"
BELLAVITA DATE WOMAN Perfume Body Lotion|Helps in Nouri...,225,325,200 ml,30% off,4.5,"5,567"
Joy Relaxing Green Tea Body Serum Lotion | Refreshing &...,174,325,300 ml,46% off,4.1,"6,406"
Santoor Body Lotion for Extra Moisturising With Sandalw...,180,400,400 ml,55% off,4.4,202
"NIVEA Natural Glow, Cell Repair - Brightens Skin, SPF 1...",199,330,200 ml,39% off,4.3,"24,014"
Vaseline Intensive Care Cocoa Glow Nourishing Body Seru...,370,515,400 ml,28% off,4.5,"1,22,214"
Vaseline Gluta Hya Dewy Radiance,315,350,200 ml,10% off,4.3,"14,905"
Foxtale Hydrating Body Lotion with Hyaluronic Acid & Ce...,319,399,200 ml,20% off,4.4,"1,751"
Vaseline Healthy Bright Daily Brightening Body Lotion,200,260,200 ml,23% off,4.3,"56,541"
mCaffeine Summer Breeze Perfume Body Lotion | Deeply Mo...,373,499,300 ml,25% off,4.4,"2,618"
"Parachute Advansed Deep Nourish Body Lotion, 600ml",258,575,600 ml,55% off,4.4,"20,469"
HIMALAYA Clear complexion Brightening Body Lotion,152,190,200 ml,20% off,4.2,"8,147"
Vaseline Intensive Care Deep Restore Moisturizing Lotio...,283,435,400 ml,34% off,4.4,"28,465"
BEARDO Ultraglow Body Lotion for Men | Intense Hydratio...,264,399,250 ml,33% off,4.3,"2,964"
Dabur Gulabari Moisturising Body Lotion | 100% Organic ...,126,393,400 ml,67% off,4.3,280
Vaseline intensive Care Deep Nourishing Body Lotion Moi...,441,649,600 ml,32% off,4.5,"2,87,188"
mCaffeine Sweet Escape Perfume Body Lotion |Deeply Butt...,373,499,300 ml,25% off,4.4,"1,664"
"NIVEA Body Lotion Very Dry Skin, Coconut Oil, Cocoa But...",206,330,200 ml,37% off,4.4,"17,996"
Nature's Essence Nourishing Almond & Honey Non-Greasy B...,238,310,400 ml,23% off,4.4,197
BAJAJ Almond Drops Nourishing Body Lotion,159,399,400 ml,60% off,4.3,"6,485"
"Vaseline Healthy Bright Daily Brightening Body Lotion,V...",378,540,400 ml,30% off,4.3,"56,541"
BAJAJ Almond Drops Ultralight Body Lotion,147,399,600 ml,63% off,4.4,"1,498"
Opal Moisturizing Lotion 1000ml,275,379,1 L,35% off,4.6,33
POND's TRIPLE VITAMIN MOISTURISING SILKY SMOOTH SKIN BO...,243,395,275 ml,25% off,4.3,395
Dot & Key Vitamin C+E Super Bright Body Lotion for Deep...,296,80,250 ml,12% off,4.2,"4,499"
Multani Natural Cocoa Butter & Aloevera Body Lotion | N...,70,585,100 ml,30% off,3.7,26
Vaseline Healthy Bright Sun+Pollution Protection Body L...,409,435,400 ml,22% off,4.3,"84,617"
Vaseline intensive Care Deep Moisture Nourishing Body L...,339,260,400 ml,18% off,4.4,"3,98,320"
KEYA SETH AROMATHERAPY Skin Defence Orange Face & Body ...,212,850,400 ml,58% off,4.3,"4,120"
Parachute Advansed Advansed Soft Touch Body Lotion,353,499,800 ml,30% off,4.3,"91,510"
POND's Niacinamide Nourishing Body Lotion 400 ml,349,290,400 ml,40% off,4.3,"25,009"
Joy Skin Fruits Lightweight Body Lotion With Almond Oil...,172,349,300 ml,48% off,4.3,"4,796"
Volamena Whitening SPF 15+ Fairness Body Lotion,181,550,300 ml,45% off,3.9,"4,824"
"NIVEA Natural Glow, Cell Repair Brightens Skin, 50x Vit...",302,450,400 ml,55% off,4.4,"1,05,010"
