Product Name,Discount Prices(?),Actual Prices(?),Weight/Type,Discount Percentage(%),Rating,Users
Everyuth Naturals Body Lotion Nourishing Cocoa| 48 hr M...,99,760,100 ml,39% off,3.9,"5,021"
Joy Honey & Almonds Advanced Nourishing Body Lotion For...,200,460,500 ml,38% off,4.3,"2,47,834"
Vaseline Intensive Care Cocoa Glow 48hr long lasting Mo...,463,375,600 ml,21% off,4.5,"50,738"
"NIVEA Aloe Hydration, Moisturizer Body Lotion, Deep Moi...",285,279,400 ml,15% off,4.5,"22,140"
Oshea Herbals Sheasoft Honey & Saffron Body Lotion,295,850,400 ml,62% off,4.4,418
Cetaphil DAM DAILY ADVANCE ULTRA HYDRATING LOTION,237,799,30 g,13% off,4.2,"64,529"
Parachute Advansed Deep Nourish Body Lotion,323,425,800 ml,59% off,4.4,"1,98,315"
AQUA OAT Non-Greasy with Oatmeal Extract and Vitamin E ...,689,499,250 ml,30% off,4.4,72
Joy Honey & Almonds Ultimate Nourishing Body Milk Lotio...,174,499,400 ml,26% off,4.4,"60,740"
POND's Niacinamide Nourishing Body Lotion 400 ml,349,350,400 ml,10% off,4.3,"25,009"
Vaseline Intensive Care Cocoa Glow Nourishing Body Seru...,367,499,400 ml,25% off,4.5,"1,22,214"
Vaseline Gluta Hya Dewy Radiance,315,550,200 ml,60% off,4.3,"14,905"
mCaffeine Summer Breeze Perfume Body Lotion | Deeply Mo...,373,575,300 ml,55% off,4.4,"2,618"
Cara Mia Milk Nourishing Body Lotion,349,649,400 ml,32% off,4.1,201
BAJAJ Almond Drops Nourishing Body Lotion,220,370,600 ml,5% off,4.3,"6,485"
"Parachute Advansed Deep Nourish Body Lotion, 600ml",258,340,600 ml,30% off,4.4,"20,469"
Vaseline intensive Care Deep Nourishing Body Lotion Moi...,441,435,600 ml,48% off,4.5,"2,87,188"
VLCC Almond Honey Deep Nourishing & Brightening Body Lo...,351,350,700 ml,34% off,4.4,985
Enchanteur by Wipro Romantic Perfumed Body Lotion with ...,238,499,250 ml,25% off,4.4,"12,969"
BOROPLUS Aloe Neem Body Lotion,222,399,400 ml,60% off,4.3,"8,827"
"AYUR HERBALS Winter Care Body Lotion with Cocoa Butter,...",230,830,1000 ml,50% off,4.4,320
mCaffeine Sweet Escape Perfume Body Lotion |Deeply Butt...,373,420,300 ml,45% off,4.4,"1,664"
BAJAJ Almond Drops Nourishing Body Lotion,159,540,400 ml,30% off,4.3,"6,485"
BOROPLUS Doodh Kesar Lotion 400ml - Pack of 2,415,80,800 ml,12% off,4.4,"2,66,442"
BIOTIQUE Winter Cherry Rejuvenating Body Lotion | 24H D...,231,499,380 ml,23% off,4.3,"14,029"
"Vaseline Healthy Bright Daily Brightening Body Lotion,V...",378,640,400 ml,23% off,4.3,"56,541"
Multani Natural Cocoa Butter & Aloevera Body Lotion | N...,70,938,100 ml,48% off,3.7,26
ADAM ZAC Enchanteur Romantic Body Lotion Olive Butter a...,380,585,250 ml,30% off,4.4,"1,304"
"BOROPLUS Body Lotion |24 hour moisturisation|Dhoodh, Ba...",489,850,800 ml,58% off,4.4,795
Mamaearth Cocoa Rich Moisturizing Body Lotion with Coco...,479,399,800 ml,55% off,4.4,"4,907"
POND's Body Lotion,105,450,90 ml,22% off,4.2,515
Vaseline Healthy Bright Sun+Pollution Protection Body L...,409,435,400 ml,25% off,4.3,"84,617"
Parachute Advansed Advansed Soft Touch Body Lotion,353,349,800 ml,53% off,4.3,"91,510"
"Sanfe Clear & Confident Glycolic Acid Body Lotion, Stra...",398,500,200 ml,24% off,4.1,812
Joy Calming Lavender Body Serum Lotion | Stress Relief ...,325,"1,475",300 ml,35% off,4.2,"11,277"
Joy Honey & Almonds Advanced Nourishing Body Lotion For...,200,729,500 ml,39% off,4.3,"2,47,834"
Vaseline intensive Care Deep Moisture Nourishing Body L...,339,760,400 ml,55% off,4.4,"3,98,320"
Secret Temptation Body Lotion with Argan Oil & Vitamin ...,261,425,400 ml,43% off,4.5,384
Everyuth Naturals Soothing Citrus Aloe Body Lotion,235,490,500 ml,28% off,4.1,"2,719"
Aveeno Skin Relief Moisturizing Lotion| Instantly Relie...,"1,121",198,354 ml,15% off,4.2,967
"POND's Triple Vitamin Moisturizing Body Lotion , Nouris...",473,279,600 ml,62% off,4.4,"15,921"
Vaseline Intensive Care Cocoa Glow 48hr long lasting Mo...,463,850,600 ml,19% off,4.5,"50,738"
Yardley London English Lavender Moisturizing Body Lotio...,191,499,400 ml,27% off,4.2,"8,219"
shat pratishat 100% Natural Body Lotion Rose,275,550,200 ml,41% off,4.2,253
Parachute Advansed Deep Nourish Body Lotion for Women &...,142,480,250 ml,12% off,4.4,"43,376"
Cetaphil DAM DAILY ADVANCE ULTRA HYDRATING LOTION,237,399,30 g,28% off,4.2,"64,529"
Parachute Advansed Deep Nourish Body Lotion,323,515,800 ml,10% off,4.4,"1,98,315"
WishCare Multi-Vitamin Brightening Body Lotion - 5% Vit...,400,350,200 ml,30% off,4.2,"2,993"
NIVEA Cocoa Nourish Body Lotion 400 ML 1 pcs,397,325,400 ml,41% off,4.4,"1,012"
Pure Roots Herbals Aloe Vera Body Lotion For Men & Wome...,279,449,800 ml,25% off,4.3,419
The Derma Co 1% Salicylic Acid Daily Exfoliating Body S...,351,499,250 ml,55% off,4.1,966
Vaseline Intensive Care Cocoa Glow Nourishing Body Seru...,370,575,400 ml,45% off,4.5,"1,22,214"
Vaseline Gluta Hya Dewy Radiance,315,500,200 ml,39% off,4.3,"14,905"
BELLAVITA SKAI Aquatic Perfume Body Lotion|Helps in Nou...,225,729,200 ml,50% off,4.2,479
WOW SKIN SCIENCE Aloe With Lactic Acid Body Lotion,264,395,400 ml,32% off,4.3,"4,039"
mCaffeine Summer Breeze Perfume Body Lotion | Deeply Mo...,373,649,300 ml,25% off,4.4,"2,618"
"Parachute Advansed Deep Nourish Body Lotion, 600ml",258,499,600 ml,27% off,4.4,"20,469"
Multani Natural Fruit Body Lotion (Pack of 2) | Prevent...,275,275,1000 ml,9% off,4.1,18
DOVE Body Love Light Hydration Body Lotion Paraben Free,120,275,90 ml,60% off,4.4,619
Vaseline Intensive Care Cocoa Glow 48hr long lasting Mo...,444,399,600 ml,30% off,4.5,"50,738"
Lotus Botanicals 100% Cocoa & Murumuru Body Lotion|Smoo...,197,540,280 ml,5% off,4.6,606
Vaseline intensive Care Deep Nourishing Body Lotion Moi...,441,425,600 ml,43% off,4.5,"2,87,188"
mCaffeine Sweet Escape Perfume Body Lotion |Deeply Butt...,373,440,300 ml,43% off,4.4,"1,664"
"NIVEA Aloe Hydration, Lotion Moisturizer, with Deep Moi...",200,440,200 ml,52% off,4.4,"4,334"
Aroma Magic Honey & Shea Butter Body Lotion 220 ml,249,598,220 ml,12% off,4.3,"2,024"
BAJAJ Almond Drops Nourishing Body Lotion,159,80,400 ml,30% off,4.3,"6,485"
"Vaseline Healthy Bright Daily Brightening Body Lotion,V...",378,585,400 ml,40% off,4.3,"56,541"
VLCC Deep Hydrating Serum Body Lotion with Cocoa Butter...,403,550,600 ml,58% off,4.1,913
Pure Roots Body Care Lotion - Pack of 2 ( 300ml * 2 ),249,850,600 ml,30% off,4.3,"18,960"
Pure Roots Fruit Lotion - Pack of 2 ( 300ml * 2 ),249,499,600 ml,30% off,4.3,775
THE MAN COMPANY Blanc Body Lotion for Men | Moisturises...,286,540,400 ml,10% off,4.3,"1,640"
Multani Natural Cocoa Butter & Aloevera Body Lotion | N...,70,349,100 ml,55% off,3.7,26
Vaseline Healthy Bright Sun+Pollution Protection Body L...,409,450,400 ml,22% off,4.3,"84,617"
Vaseline Intensive Care Deep Moisture Body Lotion,90,435,90 ml,16% off,4.3,"4,470"
"NIVEA Aloe Protection, Hydrating Moisturizer Body Lotio...",330,399,400 ml,28% off,4.4,"5,721"
Parachute Advansed Advansed Soft Touch Body Lotion,353,599,800 ml,15% off,4.3,"91,510"
POND's Niacinamide Nourishing Body Lotion 400 ml,349,279,400 ml,62% off,4.3,"25,009"
VLCC Almond Honey Nourishing & Brightening Body Lotion-...,370,850,700 ml,21% off,4.4,985
Vaseline Aloe Fresh Body Serum Lotion with Aloe Vera Ex...,373,240,400 ml,5% off,4.4,"4,651"
Vaseline Deep Moisture Serum In Lotion | Enriched with ...,208,370,200 ml,50% off,4.4,"13,081"
Aqualogica Glow+ Silky Body Lotion for 24hr Moisturizat...,314,395,200 ml,28% off,4.3,108
Joy Honey & Almonds Advanced Nourishing Body Lotion For...,200,515,500 ml,10% off,4.3,"2,47,834"
Vaseline intensive Care Deep Moisture Nourishing Body L...,339,350,400 ml,1% off,4.4,"3,98,320"
Dr Batra's Natural Moisturizing Lotion Enriched With Ec...,335,499,400 ml,27% off,4,"1,290"
NIVEA Natural Glow Cell Repair Body Lotion 400 ml,430,275,400,25% off,4.4,456
Cetaphil DAM DAILY ADVANCE ULTRA HYDRATING LOTION,237,499,30 g,55% off,4.2,"64,529"
Parachute Advansed Deep Nourish Body Lotion,323,575,800 ml,9% off,4.4,"1,98,315"
Pure Roots Cocoa Butter Body Care Lotion - Pack of 3 ( ...,189,549,300 ml,25% off,4.3,"18,960"
VLCC Almond Honey Nourishing & Brightening Body Lotion ...,351,200,350 ml,10% off,4.2,974
HIMALAYA Nourishing Body Lotion for Normal Skin,99,"1,199",100 ml,52% off,4.1,613
Lotus Botanicals 100% Cocoa & Murumuru Body Lotion|Smoo...,197,598,280 ml,32% off,4.6,606
Vaseline Intensive Care Cocoa Glow Nourishing Body Seru...,370,649,400 ml,25% off,4.5,"1,22,214"
Vaseline Gluta Hya Dewy Radiance,315,499,200 ml,45% off,4.3,"14,905"
NMF Skin Daily Lotion,494,420,200 ml,3% off,4.4,"4,334"
"NIVEA Aloe Hydration, Lotion Moisturizer, with Deep Moi...",200,299,200 ml,60% off,4.4,"2,618"
mCaffeine Summer Breeze Perfume Body Lotion | Deeply Mo...,373,399,300 ml,30% off,4.4,"20,469"
"Parachute Advansed Deep Nourish Body Lotion, 600ml",258,540,600 ml,14% off,4.6,13
Chemist at Play Bright Boost SPF Body Lotion with 5% Ni...,499,645,236 ml,10% off,4.4,"1,242"
BIOTIQUE Bio Creamy Coconut 180 ml,150,500,180 ml,1% off,4.5,704
Cetaphil Moisturising Lotion 250ml,"1,079",366,250 ml,5% off,4.3,"1,640"
THE MAN COMPANY Blanc Body Lotion for Men | Moisturises...,286,370,400 ml,12% off,4.5,"2,87,188"
Vaseline intensive Care Deep Nourishing Body Lotion Moi...,441,80,600 ml,30% off,4.4,"1,664"
mCaffeine Sweet Escape Perfume Body Lotion |Deeply Butt...,373,585,300 ml,14% off,4.3,"14,029"
BIOTIQUE Winter Cherry Rejuvenating Body Lotion | 24H D...,231,575,380 ml,19% off,4.3,"6,485"
noureea Absolute Nourishing Cherry Blossom Body Lotion ...,289,335,200 ml,58% off,4.3,"56,541"
BAJAJ Almond Drops Nourishing Body Lotion,159,850,400 ml,30% off,4.4,"2,162"
"Vaseline Healthy Bright Daily Brightening Body Lotion,V...",378,499,400 ml,48% off,4.2,365
LOTUS Herbals Phyto-Rx Rejuvina Herbcomplex Protective ...,552,349,100 ml,54% off,4.4,130
The Plant Fix Plix Peaches & Lemon Detan Body Lotion - ...,450,400,150 ml,4% off,4.3,314
EMODEL DS MOISTURIZING LOTION Pack of 200GM,360,612,200 g,55% off,3.7,26
VLCC Almond Honey Deep Nourishing & Skin Brightening Bo...,351,440,700 ml,22% off,4.3,"84,617"
Multani Natural Cocoa Butter & Aloevera Body Lotion | N...,70,450,100 ml,5% off,4.1,"1,066"
Vaseline Healthy Bright Sun+Pollution Protection Body L...,409,435,400 ml,10% off,4.3,657
PALMER'S cocoa butter formula stretch mark lotion,489,125,250 ml,15% off,4.3,"91,510"
Fixderma Moisturizing Lotion for Dry Skin Daily Moistur...,271,425,150 ml,62% off,4.3,"25,009"
Parachute Advansed Advansed Soft Touch Body Lotion,353,279,800 ml,40% off,3.9,"4,824"
POND's Niacinamide Nourishing Body Lotion 400 ml,349,770,400 ml,9% off,4.5,8
Volamena Whitening SPF 15+ Fairness Body Lotion,181,379,300 ml,20% off,4.1,27
ALOEKIN Moisturising Lotion 2x100,398,"1,100",200 ml,16% off,4.3,"2,47,834"
MelaCare Soft Moisturizing Body Lotion 2x100ml,279,370,200 ml,10% off,4.4,"3,98,320"
MOLCARO ENOBLE CALAMIN LOTION PACK OF 2,420,550,200 ml,28% off,4.4,"1,05,010"
Joy Honey & Almonds Advanced Nourishing Body Lotion For...,200,350,500 ml,23% off,4.5,101
Vaseline intensive Care Deep Moisture Nourishing Body L...,339,499,400 ml,25% off,4.2,"64,529"
"NIVEA Natural Glow, Repair Cell - Brightens Skin, SPF 1...",118,465,75 ml,55% off,4.4,"1,98,315"
Sotrue AHA+BHA Body Lotion With 10% AHA Blend & 1% Sali...,382,310,200 ml,10% off,4.4,"69,030"
Cetaphil DAM DAILY ADVANCE ULTRA HYDRATING LOTION,237,499,30 g,13% off,3.9,47
Parachute Advansed Deep Nourish Body Lotion,292,575,800 ml,8% off,4.4,96
POND's Niacinamide Nourishing Body Lotion,224,385,275 ml,18% off,4.2,107
ALDRY Moisturizing Lotion,994,799,300 ml,32% off,4.3,"14,905"
VLCC Almond Honey Deep Nourishing & Skin Brightening Bo...,295,730,700 ml,25% off,4.5,"1,22,214"
NYKAA Body Lotion - Strawberry Daiquiri,461,481,300 ml,15% off,4.4,197
Vaseline Gluta Hya Dewy Radiance,315,649,200 ml,46% off,4.4,"2,618"
Vaseline Intensive Care Cocoa Glow Nourishing Body Seru...,359,499,400 ml,60% off,4.4,"20,469"
Glybest 12 Lotion Combo Of 2 (50 ml),461,340,100 ml,30% off,4.3,944
Nature's Essence Nourishing Almond & Honey Non-Greasy B...,238,325,400 ml,28% off,4.4,72
mCaffeine Summer Breeze Perfume Body Lotion | Deeply Mo...,373,399,300 ml,31% off,4.4,167
"Parachute Advansed Deep Nourish Body Lotion, 600ml",258,540,600 ml,25% off,4.3,313
LOTUS HERBALS Skin Whitening& Brightening Hand&Body Lot...,346,599,300 ml,73% off,4.5,"2,87,188"
AQUA OAT Non-Greasy with Oatmeal Extract and Vitamin E ...,689,499,250 ml,30% off,4.4,"1,664"
PHYSIOGEL Hypoallergenic Calming Relief A.I. Body Lotio...,668,375,100 ml,12% off,4.4,279
venusia Moisturizing Lotion for Dry skin I Face & Body,394,499,100 ml,16% off,4.1,"6,406"
Vaseline intensive Care Deep Nourishing Body Lotion Moi...,441,585,600 ml,2% off,4.3,"6,485"
mCaffeine Sweet Escape Perfume Body Lotion |Deeply Butt...,373,80,300 ml,58% off,4.3,"56,541"
Olivia Moisturizing Honey Almond Body Lotion For Deep H...,289,240,400 ml,30% off,4.4,456
Joy Relaxing Green Tea Body Serum Lotion | Refreshing &...,174,451,300 ml,1% off,4.2,"1,196"
BAJAJ Almond Drops Nourishing Body Lotion,159,850,400 ml,32% off,4.4,16
"Vaseline Healthy Bright Daily Brightening Body Lotion,V...",378,499,400 ml,16% off,4.3,"84,617"
NIVEA Natural Glow Cell Repair Body Lotion 400 ml,430,99,400,55% off,3.7,26
Vanalaya Cocoa Butter & Shea Butter Moisturizing Lotion...,342,355,300 ml,22% off,4.4,623
REMOIZ C Ceramide Based Full Body Moisturizing Lotion,278,468,100 ml,64% off,4.3,"1,472"
"Odilo Honey & Almonds Advanced Nourishing Body Lotion, ...",134,450,500 ml,20% off,4.3,"91,510"
Vaseline Healthy Bright Sun+Pollution Protection Body L...,409,435,400 ml,15% off,4.3,"25,009"
Multani Natural Cocoa Butter & Aloevera Body Lotion | N...,70,250,100 ml,62% off,4.4,30
Zavers Skin Moisturizer Lotion For Nourishing & Hydrati...,200,499,500 ml,35% off,4.3,"6,037"
BIODERMA Atoderm Intensive Face And Body Moisturizer Fo...,439,279,45 ml,41% off,4.2,99
Parachute Advansed Advansed Soft Touch Body Lotion,353,770,800 ml,38% off,4.4,43
POND's Niacinamide Nourishing Body Lotion 400 ml,349,750,400 ml,28% off,4.3,"2,47,834"
Opal Moisturising Lotion 500,175,449,500 ml,10% off,4.4,"3,98,320"
Mamaearth Ubtan Moisturizing Body Lotion with Turmeric ...,98,799,100 ml,11% off,4.2,129
ASSURE DAILY MOISTURIZER (250 ml),240,499,250 ml,52% off,4.4,735
Dershine Moisturising Lotion,389,350,100 ml,25% off,4.2,"64,529"
Joy Honey & Almonds Advanced Nourishing Body Lotion For...,200,504,500 ml,55% off,4.4,"1,98,315"
Vaseline intensive Care Deep Moisture Nourishing Body L...,339,399,400 ml,20% off,4.4,181
VI-JOHN Saffron Milk & Almond Deep Moisturizer body Lot...,90,499,250 g,20% off,4.4,619
WishCare Collagen 1% Retinol Body Lotion - Skin Tighten...,398,575,200 ml,69% off,4.3,"4,039"
Cetaphil DAM DAILY ADVANCE ULTRA HYDRATING LOTION,237,260,30 g,25% off,4.5,63
Parachute Advansed Deep Nourish Body Lotion,292,225,800 ml,32% off,4.5,"1,22,214"
JOVEES HIMALAYAN CHERRY BODY LOTION,487,"1,599",600 ml,25% off,4.3,"14,905"
DOVE Body Love Light Hydration Body Lotion Paraben Free,120,395,90 ml,16% off,4.4,98
WOW SKIN SCIENCE Aloe With Lactic Acid Body Lotion,264,649,400 ml,30% off,4.3,164
Vaseline Sun Protect Body Lotion SPF 30,489,499,600 ml,60% off,4.4,"2,618"
Vaseline Intensive Care Cocoa Glow Nourishing Body Seru...,359,399,400 ml,30% off,4.4,"20,469"
Vaseline Gluta Hya Dewy Radiance,315,325,200 ml,5% off,4.4,323
Hydrilla Daily Moisturizing Lotion 200 ml,448,399,200 ml,35% off,4.3,"3,986"
"Sanfe Collagen Retinol Body LotiFor Skin Tightening, St...",189,540,200 ml,64% off,3.9,28
mCaffeine Summer Breeze Perfume Body Lotion | Deeply Mo...,373,492,300 ml,30% off,4.2,"1,517"
"Parachute Advansed Deep Nourish Body Lotion, 600ml",258,598,600 ml,12% off,4.5,"2,87,188"
JOVEES White Water Lily Moisturizing Lotion,208,990,100 ml,36% off,4.4,"1,664"
Aroma Magic Clary Sage Moisturising Lotion 100 ml,180,585,100 ml,31% off,4,"1,290"
olesoft Max Lotion Intense Moisturiser | White Soft Par...,495,80,200 ml,58% off,4.2,479
Dot & Key Barrier Repair Hyaluronic Body Lotion for Dry...,296,715,250 ml,30% off,4.3,"6,485"
Vaseline intensive Care Deep Nourishing Body Lotion Moi...,441,402,600 ml,15% off,4.3,"56,541"
mCaffeine Sweet Escape Perfume Body Lotion |Deeply Butt...,373,850,300 ml,14% off,4.5,10
Dr Batra's Natural Moisturizing Lotion Enriched With Ec...,335,499,400 ml,35% off,4.2,"1,846"
BELLAVITA SKAI Aquatic Perfume Body Lotion|Helps in Nou...,225,449,200 ml,22% off,4.4,170
BAJAJ Almond Drops Nourishing Body Lotion,159,356,400 ml,39% off,4.6,53
"Vaseline Healthy Bright Daily Brightening Body Lotion,V...",378,379,400 ml,4% off,4.3,"84,617"
Cutimax O Oat Moisturizer 2x60 Lotion,467,435,120 g,10% off,3.7,26
mCaffeine Deep Moisturizing Choco Body Lotion for Dry S...,388,729,500 ml,15% off,4.6,88
Love Beauty And Planet Murumuru Butter & Rose Body Loti...,325,250,190 ml,62% off,4.7,85
CARLTON LONDON Blush Body Lotion,352,210,180 ml,5% off,4.3,"91,510"
Vaseline Healthy Bright Sun+Pollution Protection Body L...,409,279,400 ml,2% off,4.3,"25,009"
Multani Natural Cocoa Butter & Aloevera Body Lotion | N...,70,850,100 ml,15% off,4.2,206
RICHFEEL Moisturiser 500 ML,451,299,500 ml,42% off,4.4,444
ARISH BIO-NATURAL Hydra Moist Moisturiser With SPF 30,274,600,300 ml,28% off,4.3,"5,624"
Parachute Advansed Advansed Soft Touch Body Lotion,353,325,800 ml,10% off,4.3,395
POND's Niacinamide Nourishing Body Lotion 400 ml,349,349,400 ml,14% off,4.4,"3,98,320"
Aravi Organic 10% AHA + 1% BHA Body Lotion - Treats Str...,378,515,200 ml,25% off,4.5,"50,738"
Moha Moisturizing Lotion 200ml,303,350,200 ml,55% off,4.3,"1,031"
mCaffeine Deep Choco Body Lotion for Dry Skin | Moistur...,299,349,250 ml,9% off,4.3,32
POND's TRIPLE VITAMIN MOISTURISING SILKY SMOOTH SKIN BO...,243,499,275 ml,57% off,4.2,"64,529"
Vaseline intensive Care Deep Moisture Nourishing Body L...,339,575,400 ml,14% off,4.4,"1,98,315"
Vaseline Intensive Care Cocoa Glow 48hr long lasting Mo...,444,195,600 ml,32% off,4.2,"3,337"
Atrimed Moish Herbal Moisturizer,240,699,200 ml,25% off,4.6,28
Caremoist Body lotion,188,409,100 ml,7% off,4.3,193
Cetaphil DAM DAILY ADVANCE ULTRA HYDRATING LOTION,237,649,30 g,14% off,4.3,"2,525"
Parachute Advansed Deep Nourish Body Lotion,323,499,800 ml,60% off,4.5,"1,22,214"
"Dr. Sheth's Tea Tree & Lactic Acid Body Lotion, Helps t...",284,310,200 ml,30% off,4.3,"14,905"
Reximoist Intense Moisturizing Lotion| Moisturizer for ...,587,525,125 ml,20% off,4.7,321
LOTUS HERBALS Almond Daily Nourishing Body Lotion SPF 2...,276,399,250 ml,53% off,4.3,"14,685"
BIOTIQUE Ubtan & Collagen Ultra Light Gel Oil Free Mois...,202,540,200 ml,5% off,4.4,"2,618"
Vaseline Intensive Care Cocoa Glow Nourishing Body Seru...,370,450,400 ml,10% off,4.4,"20,469"
Vaseline Gluta Hya Dewy Radiance,315,500,200 ml,12% off,4.3,170
Lotus Botanicals 100% Shea & Almond Body Lotion|Smooth ...,395,515,270 ml,30% off,4.6,7
Chemist at Play Retinol Body Lotion | Retinol + Niacina...,299,349,200 ml,11% off,4.3,"2,546"
mCaffeine Summer Breeze Perfume Body Lotion | Deeply Mo...,373,80,300 ml,25% off,4.5,155
"Parachute Advansed Deep Nourish Body Lotion, 600ml",258,585,600 ml,58% off,4.5,"2,87,188"
"Fixderma Non Drying Cleanser, Gentle, Pore-Refining, So...",176,686,60 ml,30% off,4.4,"1,664"
AmazingOrganics AMZUBL01,297,249,200 ml,55% off,4.4,139
Vaseline Derma Care Advanced Repair Body Lotion,155,850,100 ml,45% off,4.5,368
EMODEL DS DS MOISTURIZING LOTION 200GM,348,499,200 g,14% off,4.3,"6,485"
Vaseline intensive Care Deep Nourishing Body Lotion Moi...,441,295,600 ml,55% off,4.3,"56,541"
mCaffeine Sweet Escape Perfume Body Lotion |Deeply Butt...,373,449,300 ml,22% off,4.3,60
Softlite Moisturizing Lotion,288,210,90 ml,11% off,4.1,"2,719"
Vaseline intensive Care Deep Moisture Serum Lotion Nour...,448,385,600 ml,18% off,4.3,220
BAJAJ Almond Drops Nourishing Body Lotion,159,450,400 ml,15% off,4.3,108
"Vaseline Healthy Bright Daily Brightening Body Lotion,V...",378,435,400 ml,62% off,3.7,26
Iba Rain Drops Gel Body Lotion,360,215,320 ml,20% off,4.3,"84,617"
Everyuth Naturals Soothing Citrus Aloe Body Lotion,235,290,500 ml,17% off,4.3,187
NYKAA Body Lotion - Japanese Cherry Blossom,488,279,300 ml,14% off,4,"1,929"
Aqualogica Glow+ Silky Body Lotion for 24hr Moisturizat...,314,850,200 ml,28% off,4.3,"91,510"
Multani Natural Cocoa Butter & Aloevera Body Lotion | N...,70,255,100 ml,10% off,4.3,"25,009"
Vaseline Healthy Bright Sun+Pollution Protection Body L...,409,290,400 ml,44% off,4.5,49
Oryza MOISTURIZING LOTION,606,575,100 ml,7% off,4.2,"8,253"
KHADI NATURAL AYURVEDIC SANDALWOOD KESAR MOISTURISER,186,515,210 ml,25% off,4.2,145
Parachute Advansed Advansed Soft Touch Body Lotion,353,350,800 ml,55% off,4.2,561
POND's Niacinamide Nourishing Body Lotion 400 ml,349,"1,149",400 ml,10% off,4.3,"2,47,834"
AuraLife By Moisoft Moisturising Lotion,130,650,100 ml,16% off,4.4,"3,98,320"
WOW SKIN SCIENCE Coconut Milk With Lactic Acid Body Lot...,245,499,400 ml,5% off,4.3,"4,120"
